West Coast Groundfish Slope/Shelf Bottom Trawl Survey data,,,,,,,,,,
Age Composition Length- and Sex-based Tow Tallies,,,,,,,,,,
sablefish,,,,,,,,,,
Extracted: 5/5/2015,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Species Code,Species,Year,Project,INPFC Area,Min Depth (m),Max Depth (m),Number of Tows (Female),Number of Tows (Male),Number of Tows (Unsexed),Number of Tows (w/o respect to sex)
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,10,11,0,13
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,15,15,0,19
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,182.88,548.64,10,12,0,15
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,548.64,900,12,14,0,14
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,13,13,0,14
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,548.64,900,6,8,0,8
20510,sablefish,1998,Groundfish Slope Survey,34Pt5To40Pt5Degs,900,1280.16,11,12,0,14
20510,sablefish,1998,Groundfish Slope Survey,40Pt5To45Degs,900,1280.16,10,8,1,10
20510,sablefish,1998,Groundfish Slope Survey,45To49Degs,900,1280.16,7,7,0,8
20510,sablefish,1999,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,16,11,4,19
20510,sablefish,1999,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,15,15,1,19
20510,sablefish,1999,Groundfish Slope Survey,45To49Degs,182.88,548.64,11,13,0,14
20510,sablefish,1999,Groundfish Slope Survey,34Pt5To40Pt5Degs,548.64,900,7,11,1,11
20510,sablefish,1999,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,10,9,1,12
20510,sablefish,1999,Groundfish Slope Survey,45To49Degs,548.64,900,7,10,0,10
20510,sablefish,1999,Groundfish Slope Survey,34Pt5To40Pt5Degs,900,1280.16,9,10,0,11
20510,sablefish,1999,Groundfish Slope Survey,40Pt5To45Degs,900,1280.16,17,17,0,19
20510,sablefish,1999,Groundfish Slope Survey,45To49Degs,900,1280.16,11,8,0,12
20510,sablefish,2000,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,26,29,1,31
20510,sablefish,2000,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,24,22,0,26
20510,sablefish,2000,Groundfish Slope Survey,45To49Degs,182.88,548.64,11,11,0,13
20510,sablefish,2000,Groundfish Slope Survey,34Pt5To40Pt5Degs,548.64,900,11,14,0,16
20510,sablefish,2000,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,11,14,0,14
20510,sablefish,2000,Groundfish Slope Survey,45To49Degs,548.64,900,9,8,0,9
20510,sablefish,2000,Groundfish Slope Survey,34Pt5To40Pt5Degs,900,1280.16,11,10,0,11
20510,sablefish,2000,Groundfish Slope Survey,40Pt5To45Degs,900,1280.16,17,18,0,18
20510,sablefish,2000,Groundfish Slope Survey,45To49Degs,900,1280.16,9,9,0,12
20510,sablefish,2001,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,23,24,0,29
20510,sablefish,2001,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,18,24,0,25
20510,sablefish,2001,Groundfish Slope Survey,45To49Degs,182.88,548.64,8,14,0,15
20510,sablefish,2001,Groundfish Slope Survey,34Pt5To40Pt5Degs,548.64,900,14,20,0,21
20510,sablefish,2001,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,9,11,0,12
20510,sablefish,2001,Groundfish Slope Survey,45To49Degs,548.64,900,1,4,0,4
20510,sablefish,2001,Groundfish Slope Survey,34Pt5To40Pt5Degs,900,1280.16,9,10,0,13
20510,sablefish,2001,Groundfish Slope Survey,40Pt5To45Degs,900,1280.16,7,6,0,8
20510,sablefish,2001,Groundfish Slope Survey,45To49Degs,900,1280.16,6,6,0,8
20510,sablefish,2002,Groundfish Slope Survey,34To40Pt5Degs,54.864,182.88,1,1,0,1
20510,sablefish,2002,Groundfish Slope Survey,32To34Pt5Degs,182.88,548.64,7,7,0,7
20510,sablefish,2002,Groundfish Slope Survey,34Pt5To40Pt5Degs,182.88,548.64,35,35,0,37
20510,sablefish,2002,Groundfish Slope Survey,40Pt5To45Degs,182.88,548.64,31,29,0,31
20510,sablefish,2002,Groundfish Slope Survey,45To49Degs,182.88,548.64,15,20,0,20
20510,sablefish,2002,Groundfish Slope Survey,32To34Pt5Degs,548.64,900,4,4,0,5
20510,sablefish,2002,Groundfish Slope Survey,34Pt5To40Pt5Degs,548.64,900,16,19,0,19
20510,sablefish,2002,Groundfish Slope Survey,40Pt5To45Degs,548.64,900,15,17,0,17
20510,sablefish,2002,Groundfish Slope Survey,45To49Degs,548.64,900,8,9,0,9
20510,sablefish,2002,Groundfish Slope Survey,32To34Pt5Degs,900,1280.16,4,3,0,4
20510,sablefish,2002,Groundfish Slope Survey,34Pt5To40Pt5Degs,900,1280.16,14,19,0,21
20510,sablefish,2002,Groundfish Slope Survey,40Pt5To45Degs,900,1280.16,15,15,0,17
20510,sablefish,2002,Groundfish Slope Survey,45To49Degs,900,1280.16,7,7,0,8
20510,sablefish,2003,Groundfish Slope and Shelf Combination Survey,34To40Pt5Degs,54.864,182.88,24,22,1,28
20510,sablefish,2003,Groundfish Slope and Shelf Combination Survey,40Pt5To45Degs,54.864,182.88,29,28,0,32
20510,sablefish,2003,Groundfish Slope and Shelf Combination Survey,45To49Degs,54.864,182.88,46,45,0,56
20510,sablefish,2003,Groundfish Slope and Shelf Combination Survey,32To34Pt5Degs,182.88,548.64,11,9,0,13
20510,sablefish,2003,Groundfish Slope and Shelf Combination Survey,34Pt5To40Pt5Degs,182.88,548.64,33,31,1,43
20510,sablefish,2003,Groundfish Slope and Shelf Combination Survey,40Pt5To45Degs,182.88,548.64,35,34,0,44
20510,sablefish,2003,Groundfish Slope and Shelf Combination Survey,45To49Degs,182.88,548.64,28,24,0,33
20510,sablefish,2003,Groundfish Slope and Shelf Combination Survey,32To34Pt5Degs,548.64,900,4,3,0,5
20510,sablefish,2003,Groundfish Slope and Shelf Combination Survey,34Pt5To40Pt5Degs,548.64,900,7,12,0,14
20510,sablefish,2003,Groundfish Slope and Shelf Combination Survey,40Pt5To45Degs,548.64,900,23,28,1,32
20510,sablefish,2003,Groundfish Slope and Shelf Combination Survey,45To49Degs,548.64,900,12,20,0,24
20510,sablefish,2003,Groundfish Slope and Shelf Combination Survey,32To34Pt5Degs,900,1280.16,2,2,1,5
20510,sablefish,2003,Groundfish Slope and Shelf Combination Survey,34Pt5To40Pt5Degs,900,1280.16,10,12,0,16
20510,sablefish,2003,Groundfish Slope and Shelf Combination Survey,40Pt5To45Degs,900,1280.16,12,16,0,19
20510,sablefish,2003,Groundfish Slope and Shelf Combination Survey,45To49Degs,900,1280.16,11,15,0,18
20510,sablefish,2004,Groundfish Slope and Shelf Combination Survey,34To40Pt5Degs,54.864,182.88,17,23,0,30
20510,sablefish,2004,Groundfish Slope and Shelf Combination Survey,40Pt5To45Degs,54.864,182.88,33,30,0,35
20510,sablefish,2004,Groundfish Slope and Shelf Combination Survey,45To49Degs,54.864,182.88,31,32,0,42
20510,sablefish,2004,Groundfish Slope and Shelf Combination Survey,32To34Pt5Degs,182.88,548.64,3,5,0,6
20510,sablefish,2004,Groundfish Slope and Shelf Combination Survey,34Pt5To40Pt5Degs,182.88,548.64,19,17,0,21
20510,sablefish,2004,Groundfish Slope and Shelf Combination Survey,40Pt5To45Degs,182.88,548.64,29,25,1,33
20510,sablefish,2004,Groundfish Slope and Shelf Combination Survey,45To49Degs,182.88,548.64,17,19,0,23
20510,sablefish,2004,Groundfish Slope and Shelf Combination Survey,32To34Pt5Degs,548.64,900,2,2,0,2
20510,sablefish,2004,Groundfish Slope and Shelf Combination Survey,34Pt5To40Pt5Degs,548.64,900,18,25,0,27
20510,sablefish,2004,Groundfish Slope and Shelf Combination Survey,40Pt5To45Degs,548.64,900,10,20,0,23
20510,sablefish,2004,Groundfish Slope and Shelf Combination Survey,45To49Degs,548.64,900,4,9,0,9
20510,sablefish,2004,Groundfish Slope and Shelf Combination Survey,32To34Pt5Degs,900,1280.16,1,2,0,2
20510,sablefish,2004,Groundfish Slope and Shelf Combination Survey,34Pt5To40Pt5Degs,900,1280.16,5,9,0,9
20510,sablefish,2004,Groundfish Slope and Shelf Combination Survey,40Pt5To45Degs,900,1280.16,6,7,0,9
20510,sablefish,2004,Groundfish Slope and Shelf Combination Survey,45To49Degs,900,1280.16,6,6,0,7
20510,sablefish,2005,Groundfish Slope and Shelf Combination Survey,34To40Pt5Degs,54.864,182.88,19,17,0,22
20510,sablefish,2005,Groundfish Slope and Shelf Combination Survey,40Pt5To45Degs,54.864,182.88,44,41,0,54
20510,sablefish,2005,Groundfish Slope and Shelf Combination Survey,45To49Degs,54.864,182.88,34,31,0,44
20510,sablefish,2005,Groundfish Slope and Shelf Combination Survey,32To34Pt5Degs,182.88,548.64,16,10,0,19
20510,sablefish,2005,Groundfish Slope and Shelf Combination Survey,34Pt5To40Pt5Degs,182.88,548.64,39,42,0,46
20510,sablefish,2005,Groundfish Slope and Shelf Combination Survey,40Pt5To45Degs,182.88,548.64,40,36,1,44
20510,sablefish,2005,Groundfish Slope and Shelf Combination Survey,45To49Degs,182.88,548.64,33,34,0,36
20510,sablefish,2005,Groundfish Slope and Shelf Combination Survey,32To34Pt5Degs,548.64,900,10,9,0,11
20510,sablefish,2005,Groundfish Slope and Shelf Combination Survey,34Pt5To40Pt5Degs,548.64,900,22,27,0,27
20510,sablefish,2005,Groundfish Slope and Shelf Combination Survey,40Pt5To45Degs,548.64,900,26,30,0,31
20510,sablefish,2005,Groundfish Slope and Shelf Combination Survey,45To49Degs,548.64,900,15,24,0,25
20510,sablefish,2005,Groundfish Slope and Shelf Combination Survey,32To34Pt5Degs,900,1280.16,15,9,0,15
20510,sablefish,2005,Groundfish Slope and Shelf Combination Survey,34Pt5To40Pt5Degs,900,1280.16,10,13,0,14
20510,sablefish,2005,Groundfish Slope and Shelf Combination Survey,40Pt5To45Degs,900,1280.16,15,16,0,17
20510,sablefish,2005,Groundfish Slope and Shelf Combination Survey,45To49Degs,900,1280.16,10,9,0,10
20510,sablefish,2006,Groundfish Slope and Shelf Combination Survey,34To40Pt5Degs,54.864,182.88,6,7,0,9
20510,sablefish,2006,Groundfish Slope and Shelf Combination Survey,40Pt5To45Degs,54.864,182.88,16,8,0,18
20510,sablefish,2006,Groundfish Slope and Shelf Combination Survey,45To49Degs,54.864,182.88,20,23,0,33
20510,sablefish,2006,Groundfish Slope and Shelf Combination Survey,32To34Pt5Degs,182.88,548.64,11,12,0,16
20510,sablefish,2006,Groundfish Slope and Shelf Combination Survey,34Pt5To40Pt5Degs,182.88,548.64,43,40,0,46
20510,sablefish,2006,Groundfish Slope and Shelf Combination Survey,40Pt5To45Degs,182.88,548.64,52,51,0,56
20510,sablefish,2006,Groundfish Slope and Shelf Combination Survey,45To49Degs,182.88,548.64,14,22,0,25
20510,sablefish,2006,Groundfish Slope and Shelf Combination Survey,32To34Pt5Degs,548.64,900,6,10,0,10
20510,sablefish,2006,Groundfish Slope and Shelf Combination Survey,34Pt5To40Pt5Degs,548.64,900,23,24,0,26
20510,sablefish,2006,Groundfish Slope and Shelf Combination Survey,40Pt5To45Degs,548.64,900,16,25,0,25
20510,sablefish,2006,Groundfish Slope and Shelf Combination Survey,45To49Degs,548.64,900,11,16,0,17
20510,sablefish,2006,Groundfish Slope and Shelf Combination Survey,32To34Pt5Degs,900,1280.16,14,12,1,17
20510,sablefish,2006,Groundfish Slope and Shelf Combination Survey,34Pt5To40Pt5Degs,900,1280.16,24,27,0,31
20510,sablefish,2006,Groundfish Slope and Shelf Combination Survey,40Pt5To45Degs,900,1280.16,22,20,0,22
20510,sablefish,2006,Groundfish Slope and Shelf Combination Survey,45To49Degs,900,1280.16,14,17,0,18
20510,sablefish,2007,Groundfish Slope and Shelf Combination Survey,34To40Pt5Degs,54.864,182.88,4,3,0,4
20510,sablefish,2007,Groundfish Slope and Shelf Combination Survey,40Pt5To45Degs,54.864,182.88,19,17,0,28
20510,sablefish,2007,Groundfish Slope and Shelf Combination Survey,45To49Degs,54.864,182.88,34,25,0,42
20510,sablefish,2007,Groundfish Slope and Shelf Combination Survey,32To34Pt5Degs,182.88,548.64,7,5,0,10
20510,sablefish,2007,Groundfish Slope and Shelf Combination Survey,34Pt5To40Pt5Degs,182.88,548.64,37,40,0,43
20510,sablefish,2007,Groundfish Slope and Shelf Combination Survey,40Pt5To45Degs,182.88,548.64,48,47,0,60
20510,sablefish,2007,Groundfish Slope and Shelf Combination Survey,45To49Degs,182.88,548.64,27,35,0,40
20510,sablefish,2007,Groundfish Slope and Shelf Combination Survey,32To34Pt5Degs,548.64,900,2,5,0,5
20510,sablefish,2007,Groundfish Slope and Shelf Combination Survey,34Pt5To40Pt5Degs,548.64,900,24,28,1,30
20510,sablefish,2007,Groundfish Slope and Shelf Combination Survey,40Pt5To45Degs,548.64,900,16,19,1,24
20510,sablefish,2007,Groundfish Slope and Shelf Combination Survey,45To49Degs,548.64,900,14,17,0,17
20510,sablefish,2007,Groundfish Slope and Shelf Combination Survey,32To34Pt5Degs,900,1280.16,16,14,0,19
20510,sablefish,2007,Groundfish Slope and Shelf Combination Survey,34Pt5To40Pt5Degs,900,1280.16,24,27,0,30
20510,sablefish,2007,Groundfish Slope and Shelf Combination Survey,40Pt5To45Degs,900,1280.16,19,19,0,24
20510,sablefish,2007,Groundfish Slope and Shelf Combination Survey,45To49Degs,900,1280.16,18,18,0,20
20510,sablefish,2008,Groundfish Slope and Shelf Combination Survey,34To40Pt5Degs,54.864,182.88,1,5,22,26
20510,sablefish,2008,Groundfish Slope and Shelf Combination Survey,40Pt5To45Degs,54.864,182.88,11,7,12,24
20510,sablefish,2008,Groundfish Slope and Shelf Combination Survey,45To49Degs,54.864,182.88,12,10,7,25
20510,sablefish,2008,Groundfish Slope and Shelf Combination Survey,32To34Pt5Degs,182.88,548.64,6,5,0,6
20510,sablefish,2008,Groundfish Slope and Shelf Combination Survey,34Pt5To40Pt5Degs,182.88,548.64,38,33,0,46
20510,sablefish,2008,Groundfish Slope and Shelf Combination Survey,40Pt5To45Degs,182.88,548.64,42,38,0,52
20510,sablefish,2008,Groundfish Slope and Shelf Combination Survey,45To49Degs,182.88,548.64,32,30,0,38
20510,sablefish,2008,Groundfish Slope and Shelf Combination Survey,32To34Pt5Degs,548.64,900,5,2,0,5
20510,sablefish,2008,Groundfish Slope and Shelf Combination Survey,34Pt5To40Pt5Degs,548.64,900,30,35,0,36
20510,sablefish,2008,Groundfish Slope and Shelf Combination Survey,40Pt5To45Degs,548.64,900,19,23,0,26
20510,sablefish,2008,Groundfish Slope and Shelf Combination Survey,45To49Degs,548.64,900,8,13,1,14
20510,sablefish,2008,Groundfish Slope and Shelf Combination Survey,32To34Pt5Degs,900,1280.16,5,4,0,6
20510,sablefish,2008,Groundfish Slope and Shelf Combination Survey,34Pt5To40Pt5Degs,900,1280.16,19,23,0,25
20510,sablefish,2008,Groundfish Slope and Shelf Combination Survey,40Pt5To45Degs,900,1280.16,23,19,0,24
20510,sablefish,2008,Groundfish Slope and Shelf Combination Survey,45To49Degs,900,1280.16,13,15,0,16
20510,sablefish,2009,Groundfish Slope and Shelf Combination Survey,34To40Pt5Degs,54.864,182.88,16,17,2,25
20510,sablefish,2009,Groundfish Slope and Shelf Combination Survey,40Pt5To45Degs,54.864,182.88,24,31,2,36
20510,sablefish,2009,Groundfish Slope and Shelf Combination Survey,45To49Degs,54.864,182.88,33,25,0,43
20510,sablefish,2009,Groundfish Slope and Shelf Combination Survey,32To34Pt5Degs,182.88,548.64,2,3,0,4
20510,sablefish,2009,Groundfish Slope and Shelf Combination Survey,34Pt5To40Pt5Degs,182.88,548.64,33,36,0,46
20510,sablefish,2009,Groundfish Slope and Shelf Combination Survey,40Pt5To45Degs,182.88,548.64,30,43,0,52
20510,sablefish,2009,Groundfish Slope and Shelf Combination Survey,45To49Degs,182.88,548.64,19,24,0,30
20510,sablefish,2009,Groundfish Slope and Shelf Combination Survey,32To34Pt5Degs,548.64,900,4,9,0,9
20510,sablefish,2009,Groundfish Slope and Shelf Combination Survey,34Pt5To40Pt5Degs,548.64,900,25,30,0,31
20510,sablefish,2009,Groundfish Slope and Shelf Combination Survey,40Pt5To45Degs,548.64,900,15,22,0,24
20510,sablefish,2009,Groundfish Slope and Shelf Combination Survey,45To49Degs,548.64,900,8,16,0,16
20510,sablefish,2009,Groundfish Slope and Shelf Combination Survey,32To34Pt5Degs,900,1280.16,5,6,0,7
20510,sablefish,2009,Groundfish Slope and Shelf Combination Survey,34Pt5To40Pt5Degs,900,1280.16,24,24,0,31
20510,sablefish,2009,Groundfish Slope and Shelf Combination Survey,40Pt5To45Degs,900,1280.16,13,16,0,18
20510,sablefish,2009,Groundfish Slope and Shelf Combination Survey,45To49Degs,900,1280.16,7,9,0,11
20510,sablefish,2010,Groundfish Slope and Shelf Combination Survey,34To40Pt5Degs,54.864,182.88,5,10,15,25
20510,sablefish,2010,Groundfish Slope and Shelf Combination Survey,40Pt5To45Degs,54.864,182.88,20,26,0,29
20510,sablefish,2010,Groundfish Slope and Shelf Combination Survey,45To49Degs,54.864,182.88,40,34,2,54
20510,sablefish,2010,Groundfish Slope and Shelf Combination Survey,32To34Pt5Degs,182.88,548.64,10,5,1,11
20510,sablefish,2010,Groundfish Slope and Shelf Combination Survey,34Pt5To40Pt5Degs,182.88,548.64,34,41,2,46
20510,sablefish,2010,Groundfish Slope and Shelf Combination Survey,40Pt5To45Degs,182.88,548.64,36,32,0,43
20510,sablefish,2010,Groundfish Slope and Shelf Combination Survey,45To49Degs,182.88,548.64,34,43,0,48
20510,sablefish,2010,Groundfish Slope and Shelf Combination Survey,32To34Pt5Degs,548.64,900,8,5,0,10
20510,sablefish,2010,Groundfish Slope and Shelf Combination Survey,34Pt5To40Pt5Degs,548.64,900,27,32,0,35
20510,sablefish,2010,Groundfish Slope and Shelf Combination Survey,40Pt5To45Degs,548.64,900,24,30,0,36
20510,sablefish,2010,Groundfish Slope and Shelf Combination Survey,45To49Degs,548.64,900,4,11,0,11
20510,sablefish,2010,Groundfish Slope and Shelf Combination Survey,32To34Pt5Degs,900,1280.16,12,9,0,15
20510,sablefish,2010,Groundfish Slope and Shelf Combination Survey,34Pt5To40Pt5Degs,900,1280.16,14,17,0,23
20510,sablefish,2010,Groundfish Slope and Shelf Combination Survey,40Pt5To45Degs,900,1280.16,18,19,0,22
20510,sablefish,2010,Groundfish Slope and Shelf Combination Survey,45To49Degs,900,1280.16,9,11,0,13
20510,sablefish,2011,Groundfish Slope and Shelf Combination Survey,34To40Pt5Degs,54.864,182.88,26,32,2,47
20510,sablefish,2011,Groundfish Slope and Shelf Combination Survey,40Pt5To45Degs,54.864,182.88,9,8,0,15
20510,sablefish,2011,Groundfish Slope and Shelf Combination Survey,45To49Degs,54.864,182.88,17,12,1,22
20510,sablefish,2011,Groundfish Slope and Shelf Combination Survey,32To34Pt5Degs,182.88,548.64,7,7,0,12
20510,sablefish,2011,Groundfish Slope and Shelf Combination Survey,34Pt5To40Pt5Degs,182.88,548.64,30,28,0,43
20510,sablefish,2011,Groundfish Slope and Shelf Combination Survey,40Pt5To45Degs,182.88,548.64,31,35,1,47
20510,sablefish,2011,Groundfish Slope and Shelf Combination Survey,45To49Degs,182.88,548.64,41,39,0,52
20510,sablefish,2011,Groundfish Slope and Shelf Combination Survey,32To34Pt5Degs,548.64,900,2,2,0,4
20510,sablefish,2011,Groundfish Slope and Shelf Combination Survey,34Pt5To40Pt5Degs,548.64,900,18,26,0,35
20510,sablefish,2011,Groundfish Slope and Shelf Combination Survey,40Pt5To45Degs,548.64,900,11,25,0,26
20510,sablefish,2011,Groundfish Slope and Shelf Combination Survey,45To49Degs,548.64,900,12,16,0,20
20510,sablefish,2011,Groundfish Slope and Shelf Combination Survey,32To34Pt5Degs,900,1280.16,3,4,0,5
20510,sablefish,2011,Groundfish Slope and Shelf Combination Survey,34Pt5To40Pt5Degs,900,1280.16,22,19,0,28
20510,sablefish,2011,Groundfish Slope and Shelf Combination Survey,40Pt5To45Degs,900,1280.16,8,8,0,12
20510,sablefish,2011,Groundfish Slope and Shelf Combination Survey,45To49Degs,900,1280.16,10,8,0,14
20510,sablefish,2012,Groundfish Slope and Shelf Combination Survey,32To34Degs,54.864,182.88,1,0,0,1
20510,sablefish,2012,Groundfish Slope and Shelf Combination Survey,34To40Pt5Degs,54.864,182.88,21,21,2,31
20510,sablefish,2012,Groundfish Slope and Shelf Combination Survey,40Pt5To45Degs,54.864,182.88,15,16,1,22
20510,sablefish,2012,Groundfish Slope and Shelf Combination Survey,45To49Degs,54.864,182.88,8,9,1,14
20510,sablefish,2012,Groundfish Slope and Shelf Combination Survey,32To34Pt5Degs,182.88,548.64,9,7,0,11
20510,sablefish,2012,Groundfish Slope and Shelf Combination Survey,34Pt5To40Pt5Degs,182.88,548.64,41,44,0,55
20510,sablefish,2012,Groundfish Slope and Shelf Combination Survey,40Pt5To45Degs,182.88,548.64,55,48,0,60
20510,sablefish,2012,Groundfish Slope and Shelf Combination Survey,45To49Degs,182.88,548.64,41,41,0,53
20510,sablefish,2012,Groundfish Slope and Shelf Combination Survey,32To34Pt5Degs,548.64,900,6,6,1,9
20510,sablefish,2012,Groundfish Slope and Shelf Combination Survey,34Pt5To40Pt5Degs,548.64,900,17,21,0,23
20510,sablefish,2012,Groundfish Slope and Shelf Combination Survey,40Pt5To45Degs,548.64,900,16,18,0,23
20510,sablefish,2012,Groundfish Slope and Shelf Combination Survey,45To49Degs,548.64,900,9,18,0,19
20510,sablefish,2012,Groundfish Slope and Shelf Combination Survey,32To34Pt5Degs,900,1280.16,4,4,0,5
20510,sablefish,2012,Groundfish Slope and Shelf Combination Survey,34Pt5To40Pt5Degs,900,1280.16,12,18,0,20
20510,sablefish,2012,Groundfish Slope and Shelf Combination Survey,40Pt5To45Degs,900,1280.16,23,25,0,28
20510,sablefish,2012,Groundfish Slope and Shelf Combination Survey,45To49Degs,900,1280.16,16,15,0,21
20510,sablefish,2013,Groundfish Slope and Shelf Combination Survey,34To40Pt5Degs,54.864,182.88,17,20,8,29
20510,sablefish,2013,Groundfish Slope and Shelf Combination Survey,40Pt5To45Degs,54.864,182.88,14,10,0,16
20510,sablefish,2013,Groundfish Slope and Shelf Combination Survey,45To49Degs,54.864,182.88,9,7,0,12
20510,sablefish,2013,Groundfish Slope and Shelf Combination Survey,32To34Pt5Degs,182.88,548.64,10,8,0,12
20510,sablefish,2013,Groundfish Slope and Shelf Combination Survey,34Pt5To40Pt5Degs,182.88,548.64,29,26,1,32
20510,sablefish,2013,Groundfish Slope and Shelf Combination Survey,40Pt5To45Degs,182.88,548.64,37,38,0,43
20510,sablefish,2013,Groundfish Slope and Shelf Combination Survey,45To49Degs,182.88,548.64,28,25,0,31
20510,sablefish,2013,Groundfish Slope and Shelf Combination Survey,32To34Pt5Degs,548.64,900,1,3,0,3
20510,sablefish,2013,Groundfish Slope and Shelf Combination Survey,34Pt5To40Pt5Degs,548.64,900,16,19,0,20
20510,sablefish,2013,Groundfish Slope and Shelf Combination Survey,40Pt5To45Degs,548.64,900,14,17,0,20
20510,sablefish,2013,Groundfish Slope and Shelf Combination Survey,45To49Degs,548.64,900,13,15,0,17
20510,sablefish,2013,Groundfish Slope and Shelf Combination Survey,32To34Pt5Degs,900,1280.16,2,3,0,5
20510,sablefish,2013,Groundfish Slope and Shelf Combination Survey,34Pt5To40Pt5Degs,900,1280.16,10,11,0,12
20510,sablefish,2013,Groundfish Slope and Shelf Combination Survey,40Pt5To45Degs,900,1280.16,21,20,0,23
20510,sablefish,2013,Groundfish Slope and Shelf Combination Survey,45To49Degs,900,1280.16,9,7,0,10
20510,sablefish,2014,Groundfish Slope and Shelf Combination Survey,34To40Pt5Degs,54.864,182.88,19,31,0,37
20510,sablefish,2014,Groundfish Slope and Shelf Combination Survey,40Pt5To45Degs,54.864,182.88,12,18,1,24
20510,sablefish,2014,Groundfish Slope and Shelf Combination Survey,45To49Degs,54.864,182.88,28,26,0,36
20510,sablefish,2014,Groundfish Slope and Shelf Combination Survey,32To34Pt5Degs,182.88,548.64,15,9,0,20
20510,sablefish,2014,Groundfish Slope and Shelf Combination Survey,34Pt5To40Pt5Degs,182.88,548.64,42,45,0,57
20510,sablefish,2014,Groundfish Slope and Shelf Combination Survey,40Pt5To45Degs,182.88,548.64,26,35,0,45
20510,sablefish,2014,Groundfish Slope and Shelf Combination Survey,45To49Degs,182.88,548.64,24,26,0,35
20510,sablefish,2014,Groundfish Slope and Shelf Combination Survey,32To34Pt5Degs,548.64,900,2,1,0,2
20510,sablefish,2014,Groundfish Slope and Shelf Combination Survey,34Pt5To40Pt5Degs,548.64,900,11,20,0,25
20510,sablefish,2014,Groundfish Slope and Shelf Combination Survey,40Pt5To45Degs,548.64,900,12,18,0,21
20510,sablefish,2014,Groundfish Slope and Shelf Combination Survey,45To49Degs,548.64,900,9,21,0,21
20510,sablefish,2014,Groundfish Slope and Shelf Combination Survey,32To34Pt5Degs,900,1280.16,5,4,0,6
20510,sablefish,2014,Groundfish Slope and Shelf Combination Survey,34Pt5To40Pt5Degs,900,1280.16,13,15,0,19
20510,sablefish,2014,Groundfish Slope and Shelf Combination Survey,40Pt5To45Degs,900,1280.16,16,20,0,26
20510,sablefish,2014,Groundfish Slope and Shelf Combination Survey,45To49Degs,900,1280.16,6,5,0,9
