West Coast Groundfish Slope/Shelf Bottom Trawl Survey data,,,,,,,,,,,,,,,,,,,,,,,
Biomass/Abundance Estimates,,,,,,,,,,,,,,,,,,,,,,,
sablefish,,,,,,,,,,,,,,,,,,,,,,,
Extracted: 2/17/2015,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Species,Scientific Name,Species Code,Survey Year,Project,Computed Stratum Area Version,Area Set Identifier,Area Name,Southern Latitude (dd),Northern Latitude (dd),Depth Strata Set,Min Stratum Depth (m),Max Stratum Depth (m),Stratum Area (sq m),Biomass (kg),Abundance (Numbers),Cpue Weight Variance,Cpue Count Variance,Biomass Variance,Biomass CV,N (Stratum),N (Stratum Bio),N (Stratum Positive),N (Stratum Bio Positive)
sablefish,Anoplopoma fimbria,20510,1998,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,45,49,55 183 549 900 1280 meter bounds,182.88,548.64,5828866862,2314977.9,1103085,1.48656E-07,4.428E-08,1.4855E+11,0.16649,34,34,27,27
sablefish,Anoplopoma fimbria,20510,1998,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,45,49,55 183 549 900 1280 meter bounds,548.64,900,4023607871,3785728.58,1870795,6.42897E-07,1.42436E-07,9.46194E+11,0.256945,11,11,11,11
sablefish,Anoplopoma fimbria,20510,1998,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,45,49,55 183 549 900 1280 meter bounds,900,1280.16,3954626654,2385624.46,904023,2.72532E-07,5.3855E-08,2.50715E+11,0.209888,18,17,16,15
sablefish,Anoplopoma fimbria,20510,1998,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,40.5,45,55 183 549 900 1280 meter bounds,182.88,548.64,6210902689,3266170.44,2030046,3.95453E-07,5.88605E-07,2.63013E+11,0.157018,58,58,47,47
sablefish,Anoplopoma fimbria,20510,1998,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,40.5,45,55 183 549 900 1280 meter bounds,548.64,900,5264062343,4297330.29,1688136,5.84774E-07,9.8625E-08,6.48171E+11,0.187347,26,25,26,25
sablefish,Anoplopoma fimbria,20510,1998,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,40.5,45,55 183 549 900 1280 meter bounds,900,1280.16,5303944406,3880341.2,1201057,4.88744E-07,7.1955E-08,5.09232E+11,0.183903,27,27,25,25
sablefish,Anoplopoma fimbria,20510,1998,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),34Pt5To40Pt5Degs,34.5,40.5,55 183 549 900 1280 meter bounds,182.88,548.64,6951653513,1596818.55,1094214,1.44904E-07,1.46505E-07,1.32124E+11,0.227633,53,53,31,31
sablefish,Anoplopoma fimbria,20510,1998,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),34Pt5To40Pt5Degs,34.5,40.5,55 183 549 900 1280 meter bounds,548.64,900,7801299712,4800429.94,2785896,4.64035E-07,2.34657E-07,8.55798E+11,0.192711,33,33,32,32
sablefish,Anoplopoma fimbria,20510,1998,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),34Pt5To40Pt5Degs,34.5,40.5,55 183 549 900 1280 meter bounds,900,1280.16,8058579586,7557872.96,3205245,9.49727E-07,2.32331E-07,1.50429E+12,0.162281,41,41,39,39
sablefish,Anoplopoma fimbria,20510,1999,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,45,49,55 183 549 900 1280 meter bounds,182.88,548.64,5828866862,2918177.91,1679730,2.05665E-07,9.6963E-08,1.88854E+11,0.148919,37,37,31,31
sablefish,Anoplopoma fimbria,20510,1999,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,45,49,55 183 549 900 1280 meter bounds,548.64,900,4023607871,4211713.63,2044048,1.08999E-06,2.21772E-07,7.67232E+11,0.207972,24,23,24,23
sablefish,Anoplopoma fimbria,20510,1999,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,45,49,55 183 549 900 1280 meter bounds,900,1280.16,3954626654,2401054.54,1067293,1.99651E-07,4.4293E-08,1.56118E+11,0.16456,20,20,19,19
sablefish,Anoplopoma fimbria,20510,1999,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,40.5,45,55 183 549 900 1280 meter bounds,182.88,548.64,6210902689,4976538.81,2434630,1.10089E-06,2.01528E-07,8.01266E+11,0.179871,53,53,44,44
sablefish,Anoplopoma fimbria,20510,1999,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,40.5,45,55 183 549 900 1280 meter bounds,548.64,900,5264062343,6630968.78,3691977,1.6007E-06,4.13006E-07,1.70599E+12,0.196975,26,26,25,25
sablefish,Anoplopoma fimbria,20510,1999,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,40.5,45,55 183 549 900 1280 meter bounds,900,1280.16,5303944406,4760146.9,2094224,4.75632E-07,9.6767E-08,3.18581E+11,0.118574,43,42,42,41
sablefish,Anoplopoma fimbria,20510,1999,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),34Pt5To40Pt5Degs,34.5,40.5,55 183 549 900 1280 meter bounds,182.88,548.64,6951653513,8820831.01,5194041,4.40167E-05,1.37593E-05,3.6053E+13,0.680709,59,59,49,49
sablefish,Anoplopoma fimbria,20510,1999,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),34Pt5To40Pt5Degs,34.5,40.5,55 183 549 900 1280 meter bounds,548.64,900,7801299712,6508886.73,3588085,1.3178E-06,3.20508E-07,2.67339E+12,0.251203,30,30,30,30
sablefish,Anoplopoma fimbria,20510,1999,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),34Pt5To40Pt5Degs,34.5,40.5,55 183 549 900 1280 meter bounds,900,1280.16,8058579586,7544908.5,3539427,7.54421E-07,1.60235E-07,1.53102E+12,0.163997,32,32,31,31
sablefish,Anoplopoma fimbria,20510,2000,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,45,49,55 183 549 900 1280 meter bounds,182.88,548.64,5828866862,5513196.89,2757358,2.54515E-06,5.19264E-07,2.78946E+12,0.30294,33,31,27,26
sablefish,Anoplopoma fimbria,20510,2000,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,45,49,55 183 549 900 1280 meter bounds,548.64,900,4023607871,3368372.62,1667193,2.27509E-07,7.3698E-08,3.06937E+11,0.164477,13,12,12,11
sablefish,Anoplopoma fimbria,20510,2000,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,45,49,55 183 549 900 1280 meter bounds,900,1280.16,3954626654,4483803.52,1961901,2.46674E-06,4.33056E-07,1.75353E+12,0.295331,23,22,20,20
sablefish,Anoplopoma fimbria,20510,2000,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,40.5,45,55 183 549 900 1280 meter bounds,182.88,548.64,6210902689,6964635.65,3438117,4.98368E-06,6.45532E-07,3.62731E+12,0.27346,54,53,51,50
sablefish,Anoplopoma fimbria,20510,2000,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,40.5,45,55 183 549 900 1280 meter bounds,548.64,900,5264062343,6918502.74,3547232,2.59075E-06,5.95995E-07,2.24346E+12,0.216494,32,32,32,32
sablefish,Anoplopoma fimbria,20510,2000,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,40.5,45,55 183 549 900 1280 meter bounds,900,1280.16,5303944406,4318059,1870125,5.53793E-07,7.3739E-08,4.4512E+11,0.154508,36,35,36,35
sablefish,Anoplopoma fimbria,20510,2000,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),34Pt5To40Pt5Degs,34.5,40.5,55 183 549 900 1280 meter bounds,182.88,548.64,6951653513,3846335.12,4339720,7.26732E-07,2.03487E-06,5.08981E+11,0.185483,70,69,58,58
sablefish,Anoplopoma fimbria,20510,2000,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),34Pt5To40Pt5Degs,34.5,40.5,55 183 549 900 1280 meter bounds,548.64,900,7801299712,4464617.7,2509564,2.93029E-07,9.1721E-08,5.09539E+11,0.159884,36,35,34,33
sablefish,Anoplopoma fimbria,20510,2000,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),34Pt5To40Pt5Degs,34.5,40.5,55 183 549 900 1280 meter bounds,900,1280.16,8058579586,8962680.85,4239321,1.87204E-06,4.6292E-07,3.79911E+12,0.217472,32,32,31,31
sablefish,Anoplopoma fimbria,20510,2001,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,45,49,55 183 549 900 1280 meter bounds,182.88,548.64,5828866862,3592785.42,2103295,3.01936E-07,1.52043E-07,2.50207E+11,0.139225,42,41,38,37
sablefish,Anoplopoma fimbria,20510,2001,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,45,49,55 183 549 900 1280 meter bounds,548.64,900,4023607871,2212956.26,1201295,1.57983E-07,5.2464E-08,1.59853E+11,0.180671,16,16,15,15
sablefish,Anoplopoma fimbria,20510,2001,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,45,49,55 183 549 900 1280 meter bounds,900,1280.16,3954626654,2684495.77,1259365,3.75605E-07,9.8236E-08,2.67005E+11,0.192485,22,22,20,20
sablefish,Anoplopoma fimbria,20510,2001,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,40.5,45,55 183 549 900 1280 meter bounds,182.88,548.64,6210902689,5073904.57,3446798,4.67924E-07,2.79977E-07,3.05937E+11,0.109012,60,59,58,57
sablefish,Anoplopoma fimbria,20510,2001,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,40.5,45,55 183 549 900 1280 meter bounds,548.64,900,5264062343,3427437.31,1827018,3.24284E-07,6.8285E-08,3.45616E+11,0.171525,26,26,24,24
sablefish,Anoplopoma fimbria,20510,2001,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,40.5,45,55 183 549 900 1280 meter bounds,900,1280.16,5303944406,2758887.34,1103406,8.88422E-07,1.19319E-07,8.33098E+11,0.330837,30,30,24,24
sablefish,Anoplopoma fimbria,20510,2001,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),34Pt5To40Pt5Degs,34.5,40.5,55 183 549 900 1280 meter bounds,182.88,548.64,6951653513,4546689.59,5458987,5.55534E-07,9.6895E-07,4.47441E+11,0.14712,60,60,56,56
sablefish,Anoplopoma fimbria,20510,2001,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),34Pt5To40Pt5Degs,34.5,40.5,55 183 549 900 1280 meter bounds,548.64,900,7801299712,6866863.61,4007622,1.08427E-06,3.642E-07,1.60949E+12,0.18475,41,41,39,39
sablefish,Anoplopoma fimbria,20510,2001,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),34Pt5To40Pt5Degs,34.5,40.5,55 183 549 900 1280 meter bounds,900,1280.16,8058579586,7800289.55,3613554,4.95416E-07,1.14381E-07,9.7493E+11,0.126583,33,33,32,32
sablefish,Anoplopoma fimbria,20510,2001,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),32To34Pt5Degs,32,34.5,55 183 549 900 1280 meter bounds,182.88,548.64,9955261452,2684532.36,3851256,1.6108E-08,1.9188E-08,5.32153E+11,0.271738,3,3,3,3
sablefish,Anoplopoma fimbria,20510,2001,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),32To34Pt5Degs,32,34.5,55 183 549 900 1280 meter bounds,548.64,900,15683986011,31908911.53,19307940,,,,,1,1,1,1
sablefish,Anoplopoma fimbria,20510,2002,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,45,49,55 183 549 900 1280 meter bounds,182.88,548.64,5828866862,4302294.3,2446481,4.80213E-07,1.25481E-07,4.18347E+11,0.150338,40,39,37,37
sablefish,Anoplopoma fimbria,20510,2002,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,45,49,55 183 549 900 1280 meter bounds,548.64,900,4023607871,3764005.74,1924288,8.0844E-07,2.01737E-07,6.54409E+11,0.214919,20,20,19,19
sablefish,Anoplopoma fimbria,20510,2002,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,45,49,55 183 549 900 1280 meter bounds,900,1280.16,3954626654,2280083.31,965601,2.93835E-07,6.6586E-08,3.28236E+11,0.251271,14,14,12,12
sablefish,Anoplopoma fimbria,20510,2002,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,40.5,45,55 183 549 900 1280 meter bounds,182.88,548.64,6210902689,7859832.5,5049272,1.18276E-06,6.10628E-07,7.60424E+11,0.110947,60,60,60,60
sablefish,Anoplopoma fimbria,20510,2002,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,40.5,45,55 183 549 900 1280 meter bounds,548.64,900,5264062343,4751905.16,2486857,7.21897E-07,1.82261E-07,5.88354E+11,0.161418,34,34,33,33
sablefish,Anoplopoma fimbria,20510,2002,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,40.5,45,55 183 549 900 1280 meter bounds,900,1280.16,5303944406,3175394.45,2082372,2.73618E-07,9.53817E-07,2.13816E+11,0.14562,36,36,33,33
sablefish,Anoplopoma fimbria,20510,2002,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),34To40Pt5Degs,34,40.5,55 183 549 900 1280 meter bounds,54.864,182.88,12648854250,1966528.41,4573322,,,,,1,1,1,1
sablefish,Anoplopoma fimbria,20510,2002,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),34Pt5To40Pt5Degs,34.5,40.5,55 183 549 900 1280 meter bounds,182.88,548.64,6951653513,6573809.07,6065131,1.42007E-06,1.34783E-06,9.27375E+11,0.146491,75,74,72,71
sablefish,Anoplopoma fimbria,20510,2002,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),34Pt5To40Pt5Degs,34.5,40.5,55 183 549 900 1280 meter bounds,548.64,900,7801299712,6884382.74,4493559,8.43366E-07,3.12027E-07,1.22208E+12,0.160578,43,42,40,39
sablefish,Anoplopoma fimbria,20510,2002,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),34Pt5To40Pt5Degs,34.5,40.5,55 183 549 900 1280 meter bounds,900,1280.16,8058579586,6767552.79,2895872,8.02285E-07,1.43777E-07,1.21165E+12,0.162651,43,43,37,37
sablefish,Anoplopoma fimbria,20510,2002,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),32To34Pt5Degs,32,34.5,55 183 549 900 1280 meter bounds,182.88,548.64,9955261452,2522961.28,2619455,2.5975E-07,2.23473E-07,8.58104E+11,0.367163,30,30,18,18
sablefish,Anoplopoma fimbria,20510,2002,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),32To34Pt5Degs,32,34.5,55 183 549 900 1280 meter bounds,548.64,900,15683986011,9661376.4,6103953,4.68872E-07,1.62301E-07,6.40759E+12,0.262004,18,18,12,12
sablefish,Anoplopoma fimbria,20510,2002,Groundfish Slope Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),32To34Pt5Degs,32,34.5,55 183 549 900 1280 meter bounds,900,1280.16,15788732506,4415181.09,2699145,5.8152E-08,2.1841E-08,1.20803E+12,0.248937,12,12,11,11
sablefish,Anoplopoma fimbria,20510,2003,Groundfish Slope and Shelf Combination Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,45,49,55 183 549 900 1280 meter bounds,54.864,182.88,11787264639,37817760.02,21148039,0.000232836,7.58433E-05,4.43153E+14,0.556648,73,73,57,57
sablefish,Anoplopoma fimbria,20510,2003,Groundfish Slope and Shelf Combination Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,45,49,55 183 549 900 1280 meter bounds,182.88,548.64,5828866862,12690402.27,5454900,2.60164E-05,2.16309E-06,2.10458E+13,0.361499,42,42,39,39
sablefish,Anoplopoma fimbria,20510,2003,Groundfish Slope and Shelf Combination Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,45,49,55 183 549 900 1280 meter bounds,548.64,900,4023607871,3276348.32,1775023,1.0455E-06,3.56047E-07,6.045E+11,0.237306,28,28,27,27
sablefish,Anoplopoma fimbria,20510,2003,Groundfish Slope and Shelf Combination Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),45To49Degs,45,49,55 183 549 900 1280 meter bounds,900,1280.16,3954626654,3567326.25,1575754,1.17754E-06,2.20179E-07,6.82059E+11,0.231509,27,27,24,24
sablefish,Anoplopoma fimbria,20510,2003,Groundfish Slope and Shelf Combination Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,40.5,45,55 183 549 900 1280 meter bounds,54.864,182.88,11255124725,19608506.39,12630489,4.26956E-05,1.50483E-05,1.00159E+14,0.510388,54,54,32,32
sablefish,Anoplopoma fimbria,20510,2003,Groundfish Slope and Shelf Combination Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,40.5,45,55 183 549 900 1280 meter bounds,182.88,548.64,6210902689,10466033.06,6211427,4.08916E-06,1.77894E-06,3.15481E+12,0.169709,50,50,48,48
sablefish,Anoplopoma fimbria,20510,2003,Groundfish Slope and Shelf Combination Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,40.5,45,55 183 549 900 1280 meter bounds,548.64,900,5264062343,9603343.71,5195203,3.16264E-05,8.15901E-06,2.36859E+13,0.506784,37,37,37,37
sablefish,Anoplopoma fimbria,20510,2003,Groundfish Slope and Shelf Combination Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),40Pt5To45Degs,40.5,45,55 183 549 900 1280 meter bounds,900,1280.16,5303944406,4616530.95,2074172,4.4122E-07,8.8269E-08,5.91063E+11,0.166533,21,21,21,21
sablefish,Anoplopoma fimbria,20510,2003,Groundfish Slope and Shelf Combination Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),34To40Pt5Degs,34,40.5,55 183 549 900 1280 meter bounds,54.864,182.88,12648854250,1658454.04,3447118,1.06929E-07,4.68413E-07,2.63199E+11,0.309342,65,65,28,28
sablefish,Anoplopoma fimbria,20510,2003,Groundfish Slope and Shelf Combination Survey,L32 34 34.5 40.5 45 49 D55 183 549 900 1280 Sblfsh,Coastwide: (32/34/34.5/40.5/45/49),34Pt5To40Pt5Degs,34.5,40.5,55 183 549 900 1280 meter bounds,182.88,548.64,6951653513,5418514.33,4981679,7.43969E-07,5.04521E-07,7.19053E+11,0.156495,50,50,49,49
