SPGRP,GEAR,SPID,CNAME,COMPLEX,COMPLEX2,COMPLEX3,SNAME,YEAR
Rockfish,Trawl,POP,PACIFIC OCEAN PERCH,ROCK,....,....,SEBASTES ALUTUS,2011
Petrale sole,Trawl,PTRL,PETRALE SOLE,FLAT,....,....,EOPSETTA JORDANI,2011
Rockfish,Trawl,YTRK,YELLOWTAIL ROCKFISH,ROCK,....,....,SEBASTES FLAVIDUS,2011
Rockfish,Trawl,NUSF,NOR. UNSP. SHELF ROCKFISH,ROCK,....,NSLF,N/A,2011
Other groundfish,Trawl,LCOD,LINGCOD,ROND,....,....,OPHIODON ELONGATUS,2012
Flatfish,Trawl,REX,REX SOLE,FLAT,....,RFLT,GLYPTOCEPHALUS ZACHIRUS,2013
Petrale sole,Trawl,PTRL,PETRALE SOLE,FLAT,....,....,EOPSETTA JORDANI,2013
Rockfish,Trawl,POP,PACIFIC OCEAN PERCH,ROCK,....,....,SEBASTES ALUTUS,2013
Rockfish,Trawl,WDOW,WIDOW ROCKFISH,ROCK,....,....,SEBASTES ENTOMELAS,2014
Rockfish,Trawl,RDBD,REDBANDED ROCKFISH,ROCK,....,NSLP,SEBASTES BABCOCKI,2011
Rockfish,Trawl,ROSY,ROSY ROCKFISH,ROCK,....,NSLF,SEBASTES ROSACEUS,2011
Rockfish,Trawl,SNOS,SPLITNOSE ROCKFISH,ROCK,....,NSLP,SEBASTES DIPLOPROA,2012
Flatfish,Trawl,CSOL,CURLFIN SOLE,FLAT,....,RFLT,PLEURONICHTHYS DECURRENS,2012
Other groundfish,Trawl,PCOD,PACIFIC COD,ROND,....,....,GADUS MACROCEPHALUS,2012
Rockfish,Trawl,YTR1,NOM. YELLOWTAIL ROCKFISH,ROCK,....,....,SEBASTES SPP.,2013
Rockfish,Trawl,BCAC,BOCACCIO,ROCK,....,NSLF,SEBASTES PAUCISPINIS,2013
Rockfish,Trawl,GSRK,GREENSTRIPED ROCKFISH,ROCK,....,NSLF,SEBASTES ELONGATUS,2013
Rockfish,Trawl,GSRK,GREENSTRIPED ROCKFISH,ROCK,....,NSLF,SEBASTES ELONGATUS,2014
Dover sole,Trawl,DVR1,NOM. DOVER SOLE,FLAT,....,....,N/A,2014
Rockfish,Trawl,BCAC,BOCACCIO,ROCK,....,NSLF,SEBASTES PAUCISPINIS,2014
Rockfish,Trawl,GSPT,GREENSPOTTED ROCKFISH,ROCK,....,NSLF,SEBASTES CHLOROSTICTUS,2014
Rockfish,Trawl,GBL1,NOM. GREENBLOTCHED ROCKFISH,ROCK,....,NSLF,SEBASTES SPP.,2014
Rockfish,Trawl,BNK1,NOM. BANK ROCKFISH,ROCK,....,NSLP,SEBASTES SPP.,2011
Flatfish,Trawl,EGL1,NOM. ENGLISH SOLE,FLAT,....,....,N/A,2011
Rockfish,Fixed gear,DBRK,DARKBLOTCHED ROCKFISH,ROCK,....,....,SEBASTES CRAMERI,2012
Rockfish,Trawl,RDBD,REDBANDED ROCKFISH,ROCK,....,NSLP,SEBASTES BABCOCKI,2009
Flatfish,Trawl,ARTH,ARROWTOOTH FLOUNDER,FLAT,TRBT,....,ATHERESTHES STOMIAS,2009
Dover sole,Trawl,DOVR,DOVER SOLE,FLAT,....,....,MICROSTOMUS PACIFICUS,2009
Rockfish,Trawl,YMTH,YELLOWMOUTH ROCKFISH,ROCK,....,NSLP,SEBASTES REEDI,2009
Rockfish,Trawl,SNOS,SPLITNOSE ROCKFISH,ROCK,....,NSLP,SEBASTES DIPLOPROA,2009
Dover sole,Trawl,DOVR,DOVER SOLE,FLAT,....,....,MICROSTOMUS PACIFICUS,2010
"Sharks, skates and rays",Trawl,USKT,UNSP. SKATE,MGRN,SKAT,....,RAJIDAE SPP.,2010
Rockfish,Trawl,BLGL,BLACKGILL ROCKFISH,ROCK,....,NSLP,SEBASTES MELANOSTOMUS,2009
Rockfish,Trawl,SLGR,SILVERGREY ROCKFISH,ROCK,....,NSLF,SEBASTES BREVISPINIS,2013
Rockfish,Trawl,BSPR,BLACKSPOTTED ROCKFISH,ROCK,....,NSLP,SEBASTES MELANOSTICTUS,2011
Rockfish,Trawl,BANK,BANK ROCKFISH,ROCK,....,NSLP,SEBASTES RUFUS,2011
"Sharks, skates and rays",Trawl,USKT,UNSP. SKATE,MGRN,SKAT,....,RAJIDAE SPP.,2009
Other groundfish,Fixed gear,GRDR,UNSP. GRENADIERS,MGRN,....,....,N/A,2010
Flatfish,Trawl,UDAB,UNSP. SANDDABS,FLAT,SDAB,RFLT,CITHARICHTHYS SPP.,2014
Rockfish,Trawl,POP2,NOM. POP,ROCK,....,....,SEBASTES SPP.,2011
Rockfish,Fixed gear,BLGL,BLACKGILL ROCKFISH,ROCK,....,NSLP,SEBASTES MELANOSTOMUS,2010
Flatfish,Trawl,DSOL,DEEPSEA SOLE,FLAT,....,RFLT,EMBASSICHTHYS BATHYBIUS,2011
Flatfish,Trawl,DSOL,DEEPSEA SOLE,FLAT,....,RFLT,EMBASSICHTHYS BATHYBIUS,2013
"Sharks, skates and rays",Trawl,DSRK,SPINY DOGFISH,MGRN,SHRK,....,SQUALUS ACANTHIAS,2013
Rockfish,Trawl,STRK,STRIPETAIL ROCKFISH,ROCK,....,NSLF,SEBASTES SAXICOLA,2013
Thornyheads,Fixed gear,SSPN,SHORTSPINE THORNYHEAD,ROCK,TRNY,....,SEBASTOLOBUS ALASCANUS,2009
Rockfish,Trawl,ARR1,NOM. AURORA ROCKFISH,ROCK,....,NSLP,SEBASTES SPP.,2009
"Sharks, skates and rays",Trawl,BSKT,BIG SKATE,MGRN,SKAT,....,RAJA BINOCULATA,2013
Flatfish,Trawl,FSOL,FLATHEAD SOLE,FLAT,....,RFLT,HIPPOGLOSSOIDES ELASSODON,2009
Other groundfish,Trawl,GREN,PACIFIC GRENADIER,....,....,....,CORYPHAENOIDES ACROLEPIS,2013
Pacific whiting,Trawl,PWHT,PACIFIC WHITING,ROND,....,....,MERLUCCIUS PRODUCTUS,2009
Rockfish,Trawl,BLCK,BLACK ROCKFISH,ROCK,....,....,SEBASTES MELANOPS,2009
Rockfish,Trawl,REDS,REDSTRIPE ROCKFISH,ROCK,....,NSLF,SEBASTES PRORIGER,2010
Flatfish,Trawl,OFLT,OTHER FLATFISH,FLAT,....,RFLT,N/A,2012
"Sharks, skates and rays",Trawl,BSKT,BIG SKATE,MGRN,SKAT,....,RAJA BINOCULATA,2010
Rockfish,Trawl,NUSR,NOR. UNSP. NEAR-SHORE ROCKFISH,ROCK,....,NSHR,N/A,2012
Rockfish,Trawl,PNKR,PINK ROCKFISH,ROCK,....,NSLF,SEBASTES EOS,2013
Rockfish,Trawl,GSPT,GREENSPOTTED ROCKFISH,ROCK,....,NSLF,SEBASTES CHLOROSTICTUS,2010
Other groundfish,Trawl,PLCK,WALLEYE POLLOCK,ROND,....,....,THERAGRA CHALCOGRAMMA,2014
Rockfish,Trawl,USLP,UNSP. SLOPE ROCKFISH,ROCK,....,NSLP,N/A,2010
Rockfish,Trawl,CNR1,NOM. CANARY ROCKFISH,ROCK,....,....,SEBASTES SPP.,2009
Rockfish,Trawl,USLF,UNSP. SHELF ROCKFISH,ROCK,....,NSLF,N/A,2011
Thornyheads,Fixed gear,SSPN,SHORTSPINE THORNYHEAD,ROCK,TRNY,....,SEBASTOLOBUS ALASCANUS,2011
Rockfish,Fixed gear,YMTH,YELLOWMOUTH ROCKFISH,ROCK,....,NSLP,SEBASTES REEDI,2013
Rockfish,Trawl,BRW1,NOM. BROWN ROCKFISH,ROCK,....,NSHR,SEBASTES SPP.,2014
Rockfish,Trawl,VRM1,NOM. VERMILLION ROCKFISH,ROCK,....,NSLF,SEBASTES SPP.,2014
Flatfish,Fixed gear,REX,REX SOLE,FLAT,....,RFLT,GLYPTOCEPHALUS ZACHIRUS,2012
"Sharks, skates and rays",Fixed gear,LSKT,LONGNOSE SKATE,MGRN,SKAT,....,RAJA RHINA,2010
Rockfish,Trawl,FLAG,FLAG ROCKFISH,ROCK,....,....,SEBASTES RUBRIVINCTUS,2012
Other groundfish,Trawl,RATF,SPOTTED RATFISH,MGRN,....,....,HYDROLAGUS COLLIEI,2010
Rockfish,Fixed gear,RSTN,ROSETHORN ROCKFISH,ROCK,....,NSLF,SEBASTES HELVOMACULATUS,2010
Rockfish,Fixed gear,SBLY,SHORTBELLY ROCKFISH,ROCK,....,....,SEBASTES JORDANI,2013
Rockfish,Trawl,NUSR,NOR. UNSP. NEAR-SHORE ROCKFISH,ROCK,....,NSHR,N/A,2013
Dover sole,Fixed gear,DOVR,DOVER SOLE,FLAT,....,....,MICROSTOMUS PACIFICUS,2013
Rockfish,Trawl,BGL1,NOM. BLACKGILL ROCKFISH,ROCK,....,NSLP,SEBASTES SPP.,2013
Rockfish,Fixed gear,SNOS,SPLITNOSE ROCKFISH,ROCK,....,NSLP,SEBASTES DIPLOPROA,2013
Pacific whiting,Trawl,PWHT,PACIFIC WHITING,ROND,....,....,MERLUCCIUS PRODUCTUS,2011
Flatfish,Trawl,RSOL,ROCK SOLE,FLAT,....,RFLT,LEPIDOPSETTA BILINEATA,2011
Flatfish,Trawl,EGLS,ENGLISH SOLE,FLAT,....,....,PAROPHRYS VETULUS,2011
Flatfish,Trawl,FSOL,FLATHEAD SOLE,FLAT,....,RFLT,HIPPOGLOSSOIDES ELASSODON,2011
Rockfish,Trawl,ARRA,AURORA ROCKFISH,ROCK,....,NSLP,SEBASTES AURORA,2012
Flatfish,Trawl,EGLS,ENGLISH SOLE,FLAT,....,....,PAROPHRYS VETULUS,2013
Thornyheads,Trawl,LSPN,LONGSPINE THORNYHEAD,ROCK,TRNY,....,SEBASTOLOBUS ALTIVELIS,2013
Thornyheads,Trawl,LSPN,LONGSPINE THORNYHEAD,ROCK,TRNY,....,SEBASTOLOBUS ALTIVELIS,2014
Rockfish,Trawl,NUSP,NOR. UNSP. SLOPE ROCKFISH,ROCK,....,NSLP,N/A,2011
Rockfish,Trawl,NUSF,NOR. UNSP. SHELF ROCKFISH,ROCK,....,NSLF,N/A,2014
Rockfish,Trawl,CNRY,CANARY ROCKFISH,ROCK,....,....,SEBASTES PINNIGER,2012
Flatfish,Trawl,FSOL,FLATHEAD SOLE,FLAT,....,RFLT,HIPPOGLOSSOIDES ELASSODON,2012
Rockfish,Trawl,YTRK,YELLOWTAIL ROCKFISH,ROCK,....,....,SEBASTES FLAVIDUS,2013
Flatfish,Trawl,SSOL,SAND SOLE,FLAT,....,RFLT,PSETTICHTHYS MELANOSTICTUS,2013
Rockfish,Trawl,YTRK,YELLOWTAIL ROCKFISH,ROCK,....,....,SEBASTES FLAVIDUS,2014
Other groundfish,Trawl,PCOD,PACIFIC COD,ROND,....,....,GADUS MACROCEPHALUS,2014
Thornyheads,Trawl,SSP1,NOM. SHORTSPINE THORNYHEAD,ROCK,TRNY,....,SEBASTOLOBUS SPP.,2014
Rockfish,Trawl,CLPR,CHILIPEPPER,ROCK,....,NSLF,SEBASTES GOODEI,2013
Other groundfish,Fixed gear,LCOD,LINGCOD,ROND,....,....,OPHIODON ELONGATUS,2013
Rockfish,Trawl,BCAC,BOCACCIO,ROCK,....,NSLF,SEBASTES PAUCISPINIS,2011
Flatfish,Trawl,REX1,NOM. REX SOLE,FLAT,....,RFLT,N/A,2014
Petrale sole,Trawl,PTR1,NOM. PETRALE SOLE,FLAT,....,....,N/A,2014
Rockfish,Trawl,BANK,BANK ROCKFISH,ROCK,....,NSLP,SEBASTES RUFUS,2014
Other groundfish,Trawl,LCD1,NOM. LINGCOD,ROND,....,....,OPHIODON SPP.,2012
Rockfish,Trawl,GSPT,GREENSPOTTED ROCKFISH,ROCK,....,NSLF,SEBASTES CHLOROSTICTUS,2013
Sablefish,Trawl,SBL1,NOM. SHORTBELLY ROCKFISH,ROCK,....,....,SEBASTES SPP.,2014
Rockfish,Trawl,GBLC,GREENBLOTCHED ROCKFISH,ROCK,....,NSLF,SEBASTES ROSENBLATTI,2012
Rockfish,Trawl,RDB1,NOM. REDBANDED ROCKFISH,ROCK,....,NSLP,SEBASTES SPP.,2011
Other groundfish,Trawl,LCD1,NOM. LINGCOD,ROND,....,....,OPHIODON SPP.,2013
Flatfish,Fixed gear,ARTH,ARROWTOOTH FLOUNDER,FLAT,TRBT,....,ATHERESTHES STOMIAS,2012
Sablefish,Fixed gear,SABL,SABLEFISH,ROND,....,....,ANOPLOPOMA FIMBRIA,2012
Rockfish,Trawl,DBRK,DARKBLOTCHED ROCKFISH,ROCK,....,....,SEBASTES CRAMERI,2009
Flatfish,Trawl,EGLS,ENGLISH SOLE,FLAT,....,....,PAROPHRYS VETULUS,2010
Flatfish,Trawl,EGLS,ENGLISH SOLE,FLAT,....,....,PAROPHRYS VETULUS,2009
Rockfish,Trawl,REYE,ROUGHEYE ROCKFISH,ROCK,....,NSLP,SEBASTES ALEUTIANUS,2011
Rockfish,Trawl,REDS,REDSTRIPE ROCKFISH,ROCK,....,NSLF,SEBASTES PRORIGER,2012
Rockfish,Trawl,DBR1,NOM. DARKBLOTCHED ROCKFISH,ROCK,....,....,SEBASTES SPP.,2009
Other groundfish,Trawl,GRDR,UNSP. GRENADIERS,MGRN,....,....,N/A,2010
Rockfish,Trawl,USLP,UNSP. SLOPE ROCKFISH,ROCK,....,NSLP,N/A,2014
Rockfish,Trawl,YMTH,YELLOWMOUTH ROCKFISH,ROCK,....,NSLP,SEBASTES REEDI,2010
Rockfish,Trawl,SBLY,SHORTBELLY ROCKFISH,ROCK,....,....,SEBASTES JORDANI,2013
Rockfish,Trawl,SRKR,SHORTRAKER ROCKFISH,ROCK,....,NSLP,SEBASTES BOREALIS,2014
Thornyheads,Fixed gear,LSPN,LONGSPINE THORNYHEAD,ROCK,TRNY,....,SEBASTOLOBUS ALTIVELIS,2010
Flatfish,Trawl,DSOL,DEEPSEA SOLE,FLAT,....,RFLT,EMBASSICHTHYS BATHYBIUS,2012
Flatfish,Trawl,STRY,STARRY FLOUNDER,FLAT,....,RFLT,PLATICHTHYS STELLATUS,2010
Rockfish,Trawl,NUSP,NOR. UNSP. SLOPE ROCKFISH,ROCK,....,NSLP,N/A,2010
Other groundfish,Trawl,GRDR,UNSP. GRENADIERS,MGRN,....,....,N/A,2014
Rockfish,Trawl,WDW1,NOM. WIDOW ROCKFISH,ROCK,....,....,SEBASTES SPP.,2010
Thornyheads,Fixed gear,SSP1,NOM. SHORTSPINE THORNYHEAD,ROCK,TRNY,....,SEBASTOLOBUS SPP.,2010
Rockfish,Trawl,YTRK,YELLOWTAIL ROCKFISH,ROCK,....,....,SEBASTES FLAVIDUS,2009
Flatfish,Trawl,STRY,STARRY FLOUNDER,FLAT,....,RFLT,PLATICHTHYS STELLATUS,2009
Rockfish,Trawl,VRM1,NOM. VERMILLION ROCKFISH,ROCK,....,NSLF,SEBASTES SPP.,2010
Rockfish,Trawl,QLBK,QUILLBACK ROCKFISH,ROCK,....,NSHR,SEBASTES MALIGER,2011
"Sharks, skates and rays",Trawl,DSRK,SPINY DOGFISH,MGRN,SHRK,....,SQUALUS ACANTHIAS,2010
Flatfish,Trawl,PDB1,NOM. PACIFIC SANDDAB,FLAT,SDAB,RFLT,CITHARICHTHYS SPP.,2009
Rockfish,Fixed gear,SNS1,NOM. SPLITNOSE ROCKFISH,ROCK,....,NSLP,SEBASTES SPP.,2009
Rockfish,Trawl,YEY1,NOM. YELLOWEYE ROCKFISH,ROCK,....,....,SEBASTES SPP.,2010
"Sharks, skates and rays",Fixed gear,DSRK,SPINY DOGFISH,MGRN,SHRK,....,SQUALUS ACANTHIAS,2012
Other groundfish,Trawl,OGRN,OTHER GROUNDFISH,MGRN,....,....,N/A,2009
Thornyheads,Fixed gear,LSP1,NOM. LONGSPINE THORNYHEAD,ROCK,TRNY,....,SEBASTOLOBUS SPP.,2010
Rockfish,Trawl,SNS1,NOM. SPLITNOSE ROCKFISH,ROCK,....,NSLP,SEBASTES SPP.,2013
Rockfish,Trawl,BCC1,NOM. BOCACCIO,ROCK,....,NSLF,SEBASTES SPP.,2011
Rockfish,Fixed gear,GSRK,GREENSTRIPED ROCKFISH,ROCK,....,NSLF,SEBASTES ELONGATUS,2012
Rockfish,Trawl,QLB1,NOM. QUILLBACK ROCKFISH,ROCK,....,NSHR,SEBASTES SPP.,2009
Flatfish,Trawl,RSL1,NOM. ROCK SOLE,FLAT,....,RFLT,N/A,2014
"Sharks, skates and rays",Fixed gear,LSKT,LONGNOSE SKATE,MGRN,SKAT,....,RAJA RHINA,2013
Rockfish,Fixed gear,REYE,ROUGHEYE ROCKFISH,ROCK,....,NSLP,SEBASTES ALEUTIANUS,2012
Flatfish,Trawl,CSOL,CURLFIN SOLE,FLAT,....,RFLT,PLEURONICHTHYS DECURRENS,2010
Flatfish,Trawl,PDB1,NOM. PACIFIC SANDDAB,FLAT,SDAB,RFLT,CITHARICHTHYS SPP.,2011
Rockfish,Trawl,RDB1,NOM. REDBANDED ROCKFISH,ROCK,....,NSLP,SEBASTES SPP.,2013
Rockfish,Trawl,UPOP,UNSP. POP GROUP,ROCK,....,....,N/A,2011
Rockfish,Fixed gear,ARRA,AURORA ROCKFISH,ROCK,....,NSLP,SEBASTES AURORA,2011
Rockfish,Trawl,YEY1,NOM. YELLOWEYE ROCKFISH,ROCK,....,....,SEBASTES SPP.,2014
Rockfish,Trawl,POP2,NOM. POP,ROCK,....,....,SEBASTES SPP.,2013
Thornyheads,Trawl,THDS,THORNYHEADS (MIXED),ROCK,TRNY,....,SEBASTOLOBUS SPP.,2014
Pacific whiting,Fixed gear,PWHT,PACIFIC WHITING,ROND,....,....,MERLUCCIUS PRODUCTUS,2013
Other groundfish,Fixed gear,PCOD,PACIFIC COD,ROND,....,....,GADUS MACROCEPHALUS,2012
Thornyheads,Fixed gear,LSPN,LONGSPINE THORNYHEAD,ROCK,TRNY,....,SEBASTOLOBUS ALTIVELIS,2013
Rockfish,Trawl,STL1,NOM. STRIPETAIL ROCKFISH,ROCK,....,NSLF,SEBASTES SPP.,2014
Rockfish,Trawl,GBLC,GREENBLOTCHED ROCKFISH,ROCK,....,NSLF,SEBASTES ROSENBLATTI,2011
Rockfish,Fixed gear,SLGR,SILVERGREY ROCKFISH,ROCK,....,NSLF,SEBASTES BREVISPINIS,2013
Dover sole,Trawl,DOVR,DOVER SOLE,FLAT,....,....,MICROSTOMUS PACIFICUS,2012
Pacific whiting,Trawl,PWHT,PACIFIC WHITING,ROND,....,....,MERLUCCIUS PRODUCTUS,2012
Rockfish,Trawl,POP,PACIFIC OCEAN PERCH,ROCK,....,....,SEBASTES ALUTUS,2012
Rockfish,Trawl,NUSF,NOR. UNSP. SHELF ROCKFISH,ROCK,....,NSLF,N/A,2012
Sablefish,Trawl,SABL,SABLEFISH,ROND,....,....,ANOPLOPOMA FIMBRIA,2013
Flatfish,Trawl,ARTH,ARROWTOOTH FLOUNDER,FLAT,TRBT,....,ATHERESTHES STOMIAS,2014
Pacific whiting,Trawl,PWHT,PACIFIC WHITING,ROND,....,....,MERLUCCIUS PRODUCTUS,2014
Rockfish,Trawl,CNR1,NOM. CANARY ROCKFISH,ROCK,....,....,SEBASTES SPP.,2011
Rockfish,Trawl,BLGL,BLACKGILL ROCKFISH,ROCK,....,NSLP,SEBASTES MELANOSTOMUS,2011
Thornyheads,Trawl,LSP1,NOM. LONGSPINE THORNYHEAD,ROCK,TRNY,....,SEBASTOLOBUS SPP.,2013
Rockfish,Trawl,YEY1,NOM. YELLOWEYE ROCKFISH,ROCK,....,....,SEBASTES SPP.,2012
Rockfish,Trawl,DBR1,NOM. DARKBLOTCHED ROCKFISH,ROCK,....,....,SEBASTES SPP.,2013
Other groundfish,Trawl,PCOD,PACIFIC COD,ROND,....,....,GADUS MACROCEPHALUS,2013
Rockfish,Trawl,SNOS,SPLITNOSE ROCKFISH,ROCK,....,NSLP,SEBASTES DIPLOPROA,2013
Rockfish,Trawl,YEYE,YELLOWEYE ROCKFISH,ROCK,....,....,SEBASTES RUBERRIMUS,2013
Rockfish,Trawl,YEYE,YELLOWEYE ROCKFISH,ROCK,....,....,SEBASTES RUBERRIMUS,2014
Rockfish,Trawl,WDW1,NOM. WIDOW ROCKFISH,ROCK,....,....,SEBASTES SPP.,2014
Rockfish,Trawl,GBLC,GREENBLOTCHED ROCKFISH,ROCK,....,NSLF,SEBASTES ROSENBLATTI,2014
Flatfish,Trawl,REX,REX SOLE,FLAT,....,RFLT,GLYPTOCEPHALUS ZACHIRUS,2009
Thornyheads,Trawl,LSPN,LONGSPINE THORNYHEAD,ROCK,TRNY,....,SEBASTOLOBUS ALTIVELIS,2010
Rockfish,Trawl,SHRP,SHARPCHIN ROCKFISH,ROCK,....,NSLP,SEBASTES ZACENTRUS,2012
Rockfish,Trawl,RSTN,ROSETHORN ROCKFISH,ROCK,....,NSLF,SEBASTES HELVOMACULATUS,2009
Other groundfish,Trawl,LCOD,LINGCOD,ROND,....,....,OPHIODON ELONGATUS,2010
Petrale sole,Trawl,PTRL,PETRALE SOLE,FLAT,....,....,EOPSETTA JORDANI,2010
Rockfish,Fixed gear,ARRA,AURORA ROCKFISH,ROCK,....,NSLP,SEBASTES AURORA,2010
Sablefish,Fixed gear,SABL,SABLEFISH,ROND,....,....,ANOPLOPOMA FIMBRIA,2010
Rockfish,Trawl,WDOW,WIDOW ROCKFISH,ROCK,....,....,SEBASTES ENTOMELAS,2009
Rockfish,Trawl,YMTH,YELLOWMOUTH ROCKFISH,ROCK,....,NSLP,SEBASTES REEDI,2012
Rockfish,Trawl,NUSP,NOR. UNSP. SLOPE ROCKFISH,ROCK,....,NSLP,N/A,2009
Flatfish,Trawl,ARTH,ARROWTOOTH FLOUNDER,FLAT,TRBT,....,ATHERESTHES STOMIAS,2010
Thornyheads,Trawl,SSP1,NOM. SHORTSPINE THORNYHEAD,ROCK,TRNY,....,SEBASTOLOBUS SPP.,2009
Flatfish,Trawl,OFLT,OTHER FLATFISH,FLAT,....,RFLT,N/A,2011
"Sharks, skates and rays",Trawl,BSKT,BIG SKATE,MGRN,SKAT,....,RAJA BINOCULATA,2009
Other groundfish,Trawl,LCOD,LINGCOD,ROND,....,....,OPHIODON ELONGATUS,2009
Rockfish,Trawl,QLB1,NOM. QUILLBACK ROCKFISH,ROCK,....,NSHR,SEBASTES SPP.,2010
Rockfish,Trawl,REDS,REDSTRIPE ROCKFISH,ROCK,....,NSLF,SEBASTES PRORIGER,2013
Rockfish,Trawl,STRK,STRIPETAIL ROCKFISH,ROCK,....,NSLF,SEBASTES SAXICOLA,2009
Other groundfish,Trawl,GRDR,UNSP. GRENADIERS,MGRN,....,....,N/A,2011
Other groundfish,Trawl,GREN,PACIFIC GRENADIER,....,....,....,CORYPHAENOIDES ACROLEPIS,2012
Rockfish,Trawl,GBLC,GREENBLOTCHED ROCKFISH,ROCK,....,NSLF,SEBASTES ROSENBLATTI,2013
Flatfish,Trawl,SLNS,SLENDER SOLE,FLAT,....,RFLT,LYOPSETTA EXILIS,2012
Flatfish,Trawl,CSOL,CURLFIN SOLE,FLAT,....,RFLT,PLEURONICHTHYS DECURRENS,2011
Rockfish,Trawl,BSPR,BLACKSPOTTED ROCKFISH,ROCK,....,NSLP,SEBASTES MELANOSTICTUS,2009
Rockfish,Trawl,YTR1,NOM. YELLOWTAIL ROCKFISH,ROCK,....,....,SEBASTES SPP.,2010
"Sharks, skates and rays",Trawl,SSRK,SOUPFIN SHARK,MGRN,SHRK,....,GALEORHINUS ZYOPTERUS,2014
